[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 19/793 (0xb1a279…, microstrategy-announces-1000-btc) elapsed=6.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 20/793 (0xc781e8…, microstrategy-announces-1000-btc) elapsed=7.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 21/793 (0x1a475c…, microstrategy-announces-1000-btc) elapsed=7.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 22/793 (0xb2a3bf…, microstrategy-announces-1000-btc) elapsed=7.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 23/793 (0x91527e…, microstrategy-announces-1000-btc) elapsed=7.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 24/793 (0xd6f105…, microstrategy-announces-1000-btc) elapsed=8.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 25/793 (0x1e1f17…, microstrategy-announces-1000-btc) elapsed=8.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 26/793 (0xd27652…, microstrategy-announces-1000-btc) elapsed=8.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 27/793 (0x980099…, microstrategy-announces-1000-btc) elapsed=8.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 28/793 (0x58f505…, microstrategy-announces-1000-btc) elapsed=8.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 29/793 (0x5c4a70…, microstrategy-announces-1000-btc) elapsed=9.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 30/793 (0x976685…, microstrategy-announces-1000-btc) elapsed=9.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 31/793 (0x5d55e3…, microstrategy-announces-1000-btc) elapsed=9.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
